run,model,item_id,vqascore,custom_cv,csd,csd_provisional,judge_pass_rate,judge_axes_applicable,judge_parse_errors,harmonic,missing_components
v231_lumina2,lumina2,bench_v1_022,0.8748,0.7992,,False,1.0,"attribute,counting",,0.8838,csd
v231_lumina2,lumina2,bench_v1_023,0.9185,0.7636,,False,,,,0.8339,"csd,judge_pass_rate"
v231_lumina2,lumina2,bench_v1_024,0.847,0.7228,,False,1.0,spatial,,0.8417,csd
v231_lumina2,lumina2,bench_v1_025,0.8933,0.7922,,False,1.0,counting,,0.8871,csd
v231_lumina2,lumina2,bench_v1_026,0.9307,0.7792,,False,,,,0.8482,"csd,judge_pass_rate"
v231_lumina2,lumina2,bench_v1_027,0.7345,0.7734,,False,1.0,spatial,,0.8209,csd
v231_lumina2,lumina2,bench_v1_028,0.9417,0.7118,,False,1.0,"counting,spatial",,0.8654,csd
v231_lumina2,lumina2,bench_v1_029,0.8816,0.7538,,False,1.0,"attribute,counting,spatial",,0.8668,csd
v231_lumina2,lumina2,bench_v1_030,0.9092,0.752,,False,1.0,"attribute,spatial",,0.8747,csd
v231_lumina2,lumina2,bench_v1_031,0.8748,0.7633,,False,,,,0.8153,"csd,judge_pass_rate"
v231_lumina2,lumina2,bench_v1_032,0.9039,0.7824,,False,,,,0.8388,"csd,judge_pass_rate"
v231_lumina2,lumina2,bench_v1_033,0.8323,0.7805,,False,1.0,attribute,,0.8614,csd
v231_lumina2,lumina2,bench_v1_034,0.8194,0.7536,,False,0.0,spatial,,0.0,csd
v231_lumina2,lumina2,bench_v1_035,0.8933,0.7795,,False,,,,0.8325,"csd,judge_pass_rate"
v231_lumina2,lumina2,bench_v1_036,0.8816,0.7974,,False,1.0,"attribute,counting,spatial",,0.8854,csd
v231_lumina2,lumina2,bench_v1_037,0.9401,0.8123,,False,,,,0.8715,"csd,judge_pass_rate"
v231_lumina2,lumina2,bench_v1_038,0.8323,0.7838,,False,,,,0.8073,"csd,judge_pass_rate"
v231_lumina2,lumina2,bench_v1_039,0.9163,0.7997,,False,,,,0.854,"csd,judge_pass_rate"
v231_lumina2,lumina2,bench_v1_040,0.9012,0.7999,,False,1.0,spatial,,0.8929,csd
v232_pixart-sigma,pixart-sigma,bench_v1_001,0.8688,0.8231,,False,,,,0.8453,"csd,judge_pass_rate"
v232_pixart-sigma,pixart-sigma,bench_v1_002,0.8816,0.8297,,False,,,,0.8549,"csd,judge_pass_rate"
v232_pixart-sigma,pixart-sigma,bench_v1_003,0.896,0.7858,,False,,,,0.8373,"csd,judge_pass_rate"
v232_pixart-sigma,pixart-sigma,bench_v1_004,0.798,0.7646,,False,,,,0.7809,"csd,judge_pass_rate"
v232_pixart-sigma,pixart-sigma,bench_v1_005,0.896,0.7653,,False,,,,0.8255,"csd,judge_pass_rate"
v232_pixart-sigma,pixart-sigma,bench_v1_006,0.8903,0.8128,,False,1.0,attribute,,0.8946,csd
v232_pixart-sigma,pixart-sigma,bench_v1_007,0.8903,0.7915,,False,,,,0.838,"csd,judge_pass_rate"
v232_pixart-sigma,pixart-sigma,bench_v1_008,0.8903,0.8153,,False,,,,0.8512,"csd,judge_pass_rate"
v232_pixart-sigma,pixart-sigma,bench_v1_009,0.8621,0.7349,,False,1.0,attribute,,0.8521,csd
v232_pixart-sigma,pixart-sigma,bench_v1_010,0.9136,0.7496,,False,,,,0.8235,"csd,judge_pass_rate"
v232_pixart-sigma,pixart-sigma,bench_v1_011,0.9012,0.7753,,False,1.0,spatial,,0.8825,csd
v232_pixart-sigma,pixart-sigma,bench_v1_012,0.7231,0.6859,,False,0.5,"attribute,counting",,0.6197,csd
v232_pixart-sigma,pixart-sigma,bench_v1_013,0.8903,0.7262,,False,1.0,"attribute,spatial",,0.8571,csd
v232_pixart-sigma,pixart-sigma,bench_v1_014,0.896,0.8024,,False,,,,0.8466,"csd,judge_pass_rate"
v232_pixart-sigma,pixart-sigma,bench_v1_015,0.9012,0.8033,,False,,,,0.8494,"csd,judge_pass_rate"
v232_pixart-sigma,pixart-sigma,bench_v1_016,0.5788,0.8238,,False,,,,0.6799,"csd,judge_pass_rate"
v232_pixart-sigma,pixart-sigma,bench_v1_017,0.8654,0.8204,,False,,,,0.8423,"csd,judge_pass_rate"
v232_pixart-sigma,pixart-sigma,bench_v1_018,0.8782,0.7819,,False,1.0,"counting,spatial",,0.8778,csd
v232_pixart-sigma,pixart-sigma,bench_v1_019,0.8512,0.8247,,False,1.0,attribute,,0.8856,csd
v232_pixart-sigma,pixart-sigma,bench_v1_020,0.798,0.7096,,False,0.0,spatial,,0.0,csd
v232_pixart-sigma,pixart-sigma,bench_v1_021,0.7796,0.7775,,False,1.0,"counting,spatial",,0.8406,csd
v232_pixart-sigma,pixart-sigma,bench_v1_022,0.8621,0.7936,,False,1.0,"attribute,counting",,0.8772,csd
v232_pixart-sigma,pixart-sigma,bench_v1_023,0.8933,0.8094,,False,,,,0.8493,"csd,judge_pass_rate"
v232_pixart-sigma,pixart-sigma,bench_v1_024,0.6674,0.802,,False,1.0,spatial,,0.801,csd
v232_pixart-sigma,pixart-sigma,bench_v1_025,0.8722,0.8193,,False,0.0,counting,,0.0,csd
v232_pixart-sigma,pixart-sigma,bench_v1_026,0.9385,0.8037,,False,,,,0.8659,"csd,judge_pass_rate"
v232_pixart-sigma,pixart-sigma,bench_v1_027,0.7593,0.7774,,False,1.0,spatial,,0.8326,csd
v232_pixart-sigma,pixart-sigma,bench_v1_028,0.7652,0.753,,False,0.5,"counting,spatial",,0.6473,csd
v232_pixart-sigma,pixart-sigma,bench_v1_029,0.8355,0.8032,,False,0.6667,"attribute,counting,spatial",,0.7611,csd
v232_pixart-sigma,pixart-sigma,bench_v1_030,0.9208,0.8062,,False,1.0,"attribute,spatial",,0.9019,csd
v232_pixart-sigma,pixart-sigma,bench_v1_031,0.8545,0.8285,,False,,,,0.8413,"csd,judge_pass_rate"
v232_pixart-sigma,pixart-sigma,bench_v1_032,0.8903,0.7804,,False,,,,0.8317,"csd,judge_pass_rate"
v232_pixart-sigma,pixart-sigma,bench_v1_033,0.8437,0.8143,,False,1.0,attribute,,0.8789,csd
v232_pixart-sigma,pixart-sigma,bench_v1_034,0.8621,0.7656,,False,0.0,spatial,,0.0,csd
v232_pixart-sigma,pixart-sigma,bench_v1_035,0.8842,0.785,,False,,,,0.8317,"csd,judge_pass_rate"
v232_pixart-sigma,pixart-sigma,bench_v1_036,0.8545,0.8078,,False,1.0,"attribute,counting,spatial",,0.8802,csd
v232_pixart-sigma,pixart-sigma,bench_v1_037,0.9039,0.8198,,False,,,,0.8598,"csd,judge_pass_rate"
v232_pixart-sigma,pixart-sigma,bench_v1_038,0.8396,0.8233,,False,,,,0.8314,"csd,judge_pass_rate"
v232_pixart-sigma,pixart-sigma,bench_v1_039,0.9271,0.7754,,False,,,,0.8445,"csd,judge_pass_rate"
v232_pixart-sigma,pixart-sigma,bench_v1_040,0.8933,0.8162,,False,1.0,spatial,,0.897,csd
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_001,0.8986,0.8234,,False,,,,0.8594,"csd,judge_pass_rate"
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_002,0.9248,0.8164,,False,,,,0.8672,"csd,judge_pass_rate"
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_003,0.9181,0.8209,,False,,,,0.8668,"csd,judge_pass_rate"
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_004,0.8545,0.8155,,False,,,,0.8345,"csd,judge_pass_rate"
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_005,0.9114,0.811,,False,,,,0.8583,"csd,judge_pass_rate"
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_006,0.9163,0.8177,,False,1.0,attribute,,0.9052,csd
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_007,0.8782,0.7345,,False,,,,0.7999,"csd,judge_pass_rate"
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_008,0.8929,0.7814,,False,,,,0.8334,"csd,judge_pass_rate"
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_009,0.8545,0.7687,,False,1.0,attribute,,0.8643,csd
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_010,0.8986,0.7435,,False,,,,0.8137,"csd,judge_pass_rate"
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_011,0.9012,0.7976,,False,1.0,spatial,,0.892,csd
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_012,0.8396,0.7178,,False,1.0,"attribute,counting",,0.837,csd
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_013,0.8986,0.7352,,False,1.0,"attribute,spatial",,0.8638,csd
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_014,0.8714,0.8228,,False,,,,0.8464,"csd,judge_pass_rate"
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_015,0.9271,0.7801,,False,,,,0.8473,"csd,judge_pass_rate"
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_016,0.4169,0.7782,,False,,,,0.5429,"csd,judge_pass_rate"
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_017,0.8587,0.8234,,False,,,,0.8407,"csd,judge_pass_rate"
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_018,0.896,0.7926,,False,1.0,"counting,spatial",,0.8882,csd
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_019,0.8545,0.8112,,False,1.0,attribute,,0.8816,csd
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_020,0.8688,0.7589,,False,1.0,spatial,,0.8649,csd
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_021,0.847,0.7267,,False,1.0,"counting,spatial",,0.8435,csd
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_022,0.8933,0.8182,,False,1.0,"attribute,counting",,0.8978,csd
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_023,0.9136,0.7615,,False,,,,0.8306,"csd,judge_pass_rate"
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_024,0.7841,0.7567,,False,1.0,spatial,,0.8341,csd
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_025,0.9065,0.7545,,False,0.0,counting,,0.0,csd
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_026,0.9307,0.7768,,False,,,,0.8468,"csd,judge_pass_rate"
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_027,0.802,0.7894,,False,1.0,spatial,,0.8538,csd
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_028,0.9163,0.7288,,False,1.0,"counting,spatial",,0.8662,csd
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_029,0.9136,0.7765,,False,0.6667,"attribute,counting,spatial",,0.7727,csd
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_030,0.939,0.7416,,False,1.0,"attribute,spatial",,0.8789,csd
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_031,0.8903,0.8216,,False,,,,0.8546,"csd,judge_pass_rate"
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_032,0.896,0.8056,,False,,,,0.8484,"csd,judge_pass_rate"
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_033,0.798,0.818,,False,1.0,attribute,,0.8632,csd
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_034,0.8242,0.7424,,False,1.0,spatial,,0.8426,csd
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_035,0.8579,0.7451,,False,,,,0.7975,"csd,judge_pass_rate"
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_036,0.8396,0.8128,,False,1.0,"attribute,counting,spatial",,0.8768,csd
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_037,0.9394,0.8255,,False,,,,0.8788,"csd,judge_pass_rate"
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_038,0.7652,0.8201,,False,,,,0.7917,"csd,judge_pass_rate"
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_039,0.9433,0.8203,,False,,,,0.8775,"csd,judge_pass_rate"
v233_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_040,0.9226,0.7768,,False,1.0,spatial,,0.8899,csd
v234_lumina2,lumina2,bench_v1_001,0.6431,0.6784,,False,,,,0.6603,"csd,judge_pass_rate"
v234_lumina2,lumina2,bench_v1_002,0.6258,0.6777,,False,,,,0.6507,"csd,judge_pass_rate"
v234_lumina2,lumina2,bench_v1_003,0.6258,0.6823,,False,,,,0.6528,"csd,judge_pass_rate"
v234_lumina2,lumina2,bench_v1_004,0.449,0.6042,,False,,,,0.5152,"csd,judge_pass_rate"
v234_lumina2,lumina2,bench_v1_005,0.8274,0.6859,,False,,,,0.75,"csd,judge_pass_rate"
v234_lumina2,lumina2,bench_v1_006,0.4009,0.6805,,False,1.0,attribute,,0.6044,csd
v234_lumina2,lumina2,bench_v1_007,0.802,0.7125,,False,,,,0.7546,"csd,judge_pass_rate"
v234_lumina2,lumina2,bench_v1_008,0.8355,0.6103,,False,,,,0.7054,"csd,judge_pass_rate"
v234_lumina2,lumina2,bench_v1_009,0.7008,0.6616,,False,1.0,attribute,,0.7617,csd
v234_lumina2,lumina2,bench_v1_010,0.8154,0.6642,,False,,,,0.7321,"csd,judge_pass_rate"
v234_lumina2,lumina2,bench_v1_011,0.5971,0.6629,,False,1.0,spatial,,0.7171,csd
v234_lumina2,lumina2,bench_v1_012,0.661,0.7092,,False,1.0,"attribute,counting",,0.7647,csd
v234_lumina2,lumina2,bench_v1_013,0.5971,0.6911,,False,1.0,"attribute,spatial",,0.7278,csd
v234_lumina2,lumina2,bench_v1_014,0.6674,0.6609,,False,,,,0.6641,"csd,judge_pass_rate"
v234_lumina2,lumina2,bench_v1_015,0.8154,0.6349,,False,,,,0.7139,"csd,judge_pass_rate"
v234_lumina2,lumina2,bench_v1_016,0.6954,0.7292,,False,,,,0.7119,"csd,judge_pass_rate"
v234_lumina2,lumina2,bench_v1_017,0.749,0.7105,,False,,,,0.7292,"csd,judge_pass_rate"
v234_lumina2,lumina2,bench_v1_018,0.802,0.6411,,False,1.0,"counting,spatial",,0.7881,csd
v234_lumina2,lumina2,bench_v1_019,0.8194,0.69,,False,1.0,attribute,,0.8175,csd
v234_lumina2,lumina2,bench_v1_020,0.7119,0.6974,,False,1.0,spatial,,0.7815,csd
v234_lumina2,lumina2,bench_v1_021,0.7288,0.7041,,False,0.5,"counting,spatial",,0.626,csd
v234_lumina2,lumina2,bench_v1_022,0.6431,0.7111,,False,1.0,"attribute,counting",,0.7573,csd
v234_lumina2,lumina2,bench_v1_023,0.4836,0.7002,,False,,,,0.5721,"csd,judge_pass_rate"
v234_lumina2,lumina2,bench_v1_024,0.6444,0.7079,,False,1.0,spatial,,0.7567,csd
v234_lumina2,lumina2,bench_v1_025,0.6494,0.6992,,False,1.0,counting,,0.7557,csd
v234_lumina2,lumina2,bench_v1_026,0.7697,0.6648,,False,,,,0.7134,"csd,judge_pass_rate"
v234_lumina2,lumina2,bench_v1_027,0.572,0.6986,,False,1.0,spatial,,0.7178,csd
v234_lumina2,lumina2,bench_v1_028,0.7288,0.6973,,False,1.0,"counting,spatial",,0.7882,csd
v234_lumina2,lumina2,bench_v1_029,0.3947,0.6606,,False,1.0,"attribute,counting,spatial",,0.5944,csd
v234_lumina2,lumina2,bench_v1_030,0.4267,0.6972,,False,1.0,"attribute,spatial",,0.6279,csd
v234_lumina2,lumina2,bench_v1_031,0.449,0.6708,,False,,,,0.5379,"csd,judge_pass_rate"
v234_lumina2,lumina2,bench_v1_032,0.5068,0.6667,,False,,,,0.5759,"csd,judge_pass_rate"
v234_lumina2,lumina2,bench_v1_033,0.4724,0.6825,,False,1.0,attribute,,0.6547,csd
v234_lumina2,lumina2,bench_v1_034,0.6846,0.6712,,False,1.0,spatial,,0.7594,csd
v234_lumina2,lumina2,bench_v1_035,0.6674,0.6831,,False,,,,0.6752,"csd,judge_pass_rate"
v234_lumina2,lumina2,bench_v1_036,0.6558,0.6396,,False,1.0,"attribute,counting,spatial",,0.7338,csd
v234_lumina2,lumina2,bench_v1_037,0.6558,0.7451,,False,,,,0.6976,"csd,judge_pass_rate"
v234_lumina2,lumina2,bench_v1_038,0.4669,0.7328,,False,,,,0.5704,"csd,judge_pass_rate"
v234_lumina2,lumina2,bench_v1_039,0.7888,0.6982,,False,,,,0.7407,"csd,judge_pass_rate"
v234_lumina2,lumina2,bench_v1_040,0.749,0.7248,,False,1.0,spatial,,0.8076,csd
v235_pixart-sigma,pixart-sigma,bench_v1_001,0.6381,0.5746,,False,,,,0.6047,"csd,judge_pass_rate"
v235_pixart-sigma,pixart-sigma,bench_v1_002,0.4437,0.7717,,False,,,,0.5634,"csd,judge_pass_rate"
v235_pixart-sigma,pixart-sigma,bench_v1_003,0.5353,0.6935,,False,,,,0.6042,"csd,judge_pass_rate"
v235_pixart-sigma,pixart-sigma,bench_v1_004,0.4104,0.5401,,False,,,,0.4664,"csd,judge_pass_rate"
v235_pixart-sigma,pixart-sigma,bench_v1_005,0.5188,0.7471,,False,,,,0.6124,"csd,judge_pass_rate"
v235_pixart-sigma,pixart-sigma,bench_v1_006,0.2231,0.7265,,False,1.0,attribute,,0.4374,csd
v235_pixart-sigma,pixart-sigma,bench_v1_007,0.8194,0.7092,,False,,,,0.7603,"csd,judge_pass_rate"
v235_pixart-sigma,pixart-sigma,bench_v1_008,0.847,0.6145,,False,,,,0.7123,"csd,judge_pass_rate"
v235_pixart-sigma,pixart-sigma,bench_v1_009,0.6077,0.5757,,False,1.0,attribute,,0.6845,csd
v235_pixart-sigma,pixart-sigma,bench_v1_010,0.7345,0.6179,,False,,,,0.6712,"csd,judge_pass_rate"
v235_pixart-sigma,pixart-sigma,bench_v1_011,0.5653,0.6416,,False,1.0,spatial,,0.6932,csd
v235_pixart-sigma,pixart-sigma,bench_v1_012,0.6258,0.6462,,False,0.5,"attribute,counting",,0.583,csd
v235_pixart-sigma,pixart-sigma,bench_v1_013,0.5068,0.6399,,False,0.0,"attribute,spatial",,0.0,csd
v235_pixart-sigma,pixart-sigma,bench_v1_014,0.7841,0.6548,,False,,,,0.7136,"csd,judge_pass_rate"
v235_pixart-sigma,pixart-sigma,bench_v1_015,0.7788,0.5662,,False,,,,0.6557,"csd,judge_pass_rate"
v235_pixart-sigma,pixart-sigma,bench_v1_016,0.6319,0.6768,,False,,,,0.6536,"csd,judge_pass_rate"
v235_pixart-sigma,pixart-sigma,bench_v1_017,0.6727,0.7086,,False,,,,0.6902,"csd,judge_pass_rate"
v235_pixart-sigma,pixart-sigma,bench_v1_018,0.8545,0.6318,,False,1.0,"counting,spatial",,0.7993,csd
v235_pixart-sigma,pixart-sigma,bench_v1_019,0.7548,0.7337,,False,1.0,attribute,,0.8135,csd
v235_pixart-sigma,pixart-sigma,bench_v1_020,0.7008,0.6111,,False,0.0,spatial,,0.0,csd
v235_pixart-sigma,pixart-sigma,bench_v1_021,0.6137,0.5885,,False,0.5,"counting,spatial",,0.563,csd
v235_pixart-sigma,pixart-sigma,bench_v1_022,0.6077,0.7056,,False,1.0,"attribute,counting",,0.7384,csd
v235_pixart-sigma,pixart-sigma,bench_v1_023,0.5833,0.6749,,False,,,,0.6258,"csd,judge_pass_rate"
v235_pixart-sigma,pixart-sigma,bench_v1_024,0.6381,0.6465,,False,1.0,spatial,,0.7292,csd
v235_pixart-sigma,pixart-sigma,bench_v1_025,0.5188,0.695,,False,0.0,counting,,0.0,csd
v235_pixart-sigma,pixart-sigma,bench_v1_026,0.7548,0.6261,,False,,,,0.6845,"csd,judge_pass_rate"
v235_pixart-sigma,pixart-sigma,bench_v1_027,0.495,0.5856,,False,1.0,spatial,,0.6345,csd
v235_pixart-sigma,pixart-sigma,bench_v1_028,0.6319,0.6623,,False,1.0,"counting,spatial",,0.7331,csd
v235_pixart-sigma,pixart-sigma,bench_v1_029,0.291,0.7483,,False,0.6667,"attribute,counting,spatial",,0.4783,csd
v235_pixart-sigma,pixart-sigma,bench_v1_030,0.4836,0.6463,,False,1.0,"attribute,spatial",,0.65,csd
v235_pixart-sigma,pixart-sigma,bench_v1_031,0.4724,0.6154,,False,,,,0.5345,"csd,judge_pass_rate"
v235_pixart-sigma,pixart-sigma,bench_v1_032,0.6137,0.62,,False,,,,0.6168,"csd,judge_pass_rate"
v235_pixart-sigma,pixart-sigma,bench_v1_033,0.5068,0.6621,,False,1.0,attribute,,0.6691,csd
v235_pixart-sigma,pixart-sigma,bench_v1_034,0.6558,0.6721,,False,0.0,spatial,,0.0,csd
v235_pixart-sigma,pixart-sigma,bench_v1_035,0.5971,0.6865,,False,,,,0.6387,"csd,judge_pass_rate"
v235_pixart-sigma,pixart-sigma,bench_v1_036,0.5609,0.6583,,False,1.0,"attribute,counting,spatial",,0.6974,csd
v235_pixart-sigma,pixart-sigma,bench_v1_037,0.4437,0.6892,,False,,,,0.5399,"csd,judge_pass_rate"
v235_pixart-sigma,pixart-sigma,bench_v1_038,0.495,0.773,,False,,,,0.6035,"csd,judge_pass_rate"
v235_pixart-sigma,pixart-sigma,bench_v1_039,0.7934,0.6459,,False,,,,0.7121,"csd,judge_pass_rate"
v235_pixart-sigma,pixart-sigma,bench_v1_040,0.8234,0.6532,,False,1.0,spatial,,0.801,csd
v236_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_001,0.7593,0.7322,,False,,,,0.7455,"csd,judge_pass_rate"
v236_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_002,0.5653,0.7371,,False,,,,0.6399,"csd,judge_pass_rate"
v236_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_003,0.661,0.7402,,False,,,,0.6984,"csd,judge_pass_rate"
v236_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_004,0.5902,0.7283,,False,,,,0.652,"csd,judge_pass_rate"
v236_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_005,0.8545,0.7448,,False,,,,0.7959,"csd,judge_pass_rate"
v236_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_006,0.4267,0.7633,,False,1.0,attribute,,0.6447,csd
v236_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_007,0.802,0.7381,,False,,,,0.7687,"csd,judge_pass_rate"
v236_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_008,0.8274,0.6957,,False,,,,0.7559,"csd,judge_pass_rate"
v236_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_009,0.661,0.726,,False,1.0,attribute,,0.7712,csd
v236_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_010,0.7934,0.6593,,False,,,,0.7202,"csd,judge_pass_rate"
v236_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_011,0.6431,0.6959,,False,1.0,spatial,,0.7515,csd
v236_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_012,0.6674,0.7117,,False,1.0,"attribute,counting",,0.7686,csd
v236_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_013,0.6077,0.6306,,False,1.0,"attribute,spatial",,0.709,csd
v236_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_014,0.7697,0.7095,,False,,,,0.7384,"csd,judge_pass_rate"
v236_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_015,0.8234,0.6159,,False,,,,0.7047,"csd,judge_pass_rate"
v236_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_016,0.7231,0.7381,,False,,,,0.7305,"csd,judge_pass_rate"
v236_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_017,0.7288,0.7444,,False,,,,0.7365,"csd,judge_pass_rate"
v236_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_018,0.802,0.6718,,False,1.0,"counting,spatial",,0.8031,csd
v236_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_019,0.8437,0.7518,,False,1.0,attribute,,0.8534,csd
v236_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_020,0.5971,0.713,,False,1.0,spatial,,0.7358,csd
v236_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_021,0.7697,0.7279,,False,1.0,"counting,spatial",,0.8168,csd
v236_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_022,0.6381,0.7408,,False,1.0,"attribute,counting",,0.7659,csd
v236_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_023,0.5127,0.7212,,False,,,,0.5993,"csd,judge_pass_rate"
v236_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_024,0.5902,0.7329,,False,1.0,spatial,,0.7391,csd
v236_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_025,0.5068,0.7072,,False,0.0,counting,,0.0,csd
